disease_id,gene,disease_name,omim_id,inheritance,phenotype_concern_list
D0277,GCH1,"Hyperphenylalaninemia, BH4-deficient, B",OMIM:233910,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; systemic red flag concern; vision / ocular tracking concern
D0457,PCBD1,"Hyperphenylalaninemia, BH4-deficient, D",OMIM:264070,AR,developmental delay concern; renal / urinary concern
D0034,ALDH4A1,"Hyperprolinemia, type II",OMIM:239510,AR,developmental delay concern; language / cognitive concern; renal / urinary concern; seizure-like event concern
D0170,CYP11B2,"Hypoaldosteronism, congenital, due to CMO I deficiency",OMIM:203400,AR,feeding / swallowing concern; gastrointestinal concern; growth / weight concern; renal / urinary concern; systemic red flag concern
D0049,APOB,Hypobetalipoproteinemia,OMIM:615558,AR,gait / coordination concern; gastrointestinal concern
D0645,TRPM6,"Hypomagnesemia 1, intestinal",OMIM:602014,AR,seizure-like event concern
D0041,ALPL,"Hypophosphatasia, childhood",OMIM:241510,AR,gait / coordination concern; growth / weight concern; musculoskeletal concern; renal / urinary concern; seizure-like event concern; skin concern
D0040,ALPL,"Hypophosphatasia, infantile",OMIM:241500,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; seizure-like event concern; skin concern; social interaction / behavioral concern; systemic red flag concern
D0585,SLC34A3,Hypophosphatemic rickets with hypercalciuria,OMIM:241530,AR,gait / coordination concern; growth / weight concern; motor weakness concern; musculoskeletal concern; renal / urinary concern
D0189,DMP1,"Hypophosphatemic rickets, AR",OMIM:241520,AR,hearing concern; growth / weight concern
D0485,PHEX,"Hypophosphatemic rickets, X-linked dominant",OMIM:307800,XLD,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; musculoskeletal concern; renal / urinary concern
D0433,NKX2-5,Hypoplastic left heart syndrome 2,OMIM:614435,AD,developmental delay concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; skin concern
D0336,IGSF1,"Hypothyroidism, central, and testicular enlargement",OMIM:300888,XLR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; skin concern
D0455,PAX8,"Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia",OMIM:218700,AD,feeding / swallowing concern; gastrointestinal concern; growth / weight concern; musculoskeletal concern; respiratory concern; skin concern
D0646,TSHB,"Hypothyroidism, congenital, nongoitrous 4",OMIM:275100,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; skin concern
D0436,NKX2-5,"Hypothyroidism, congenital, nongoitrous, 5",OMIM:225250,AD,developmental delay concern; language / cognitive concern; growth / weight concern; respiratory / cardiopulmonary concern
D0641,TRHR,"Hypothyroidism, congenital, nongoitrous, 7",OMIM:618573,AR,fatigability / low stamina concern; growth / weight concern; musculoskeletal concern
D0624,TBL1X,"Hypothyroidism, congenital, nongoitrous, 8",OMIM:301033,XLR,gastrointestinal concern; language / cognitive concern; social interaction / behavioral concern
D0348,IRS4,"Hypothyroidism, congenital, nongoitrous, 9",OMIM:301035,XLR,growth / weight concern
